Found 34 Hamiltonian path(s):
[0, 1, 2, 3, 4, 5]
[0, 1, 2, 3, 5, 4]
[0, 1, 2, 4, 3, 5]
[0, 1, 2, 4, 5, 3]
[0, 1, 3, 2, 4, 5]
[0, 1, 3, 5, 4, 2]
[0, 2, 1, 3, 4, 5]
[0, 2, 1, 3, 5, 4]
[0, 2, 4, 5, 3, 1]
[1, 0, 2, 3, 4, 5]
[1, 0, 2, 3, 5, 4]
[1, 0, 2, 4, 3, 5]
[1, 0, 2, 4, 5, 3]
[1, 3, 5, 4, 2, 0]
[2, 0, 1, 3, 4, 5]
[2, 0, 1, 3, 5, 4]
[2, 4, 5, 3, 1, 0]
[3, 1, 0, 2, 4, 5]
[3, 5, 4, 2, 0, 1]
[3, 5, 4, 2, 1, 0]
[4, 2, 0, 1, 3, 5]
[4, 5, 3, 1, 0, 2]
[4, 5, 3, 1, 2, 0]
[4, 5, 3, 2, 0, 1]
[4, 5, 3, 2, 1, 0]
[5, 3, 1, 0, 2, 4]
[5, 3, 4, 2, 0, 1]
[5, 3, 4, 2, 1, 0]
[5, 4, 2, 0, 1, 3]
[5, 4, 2, 3, 1, 0]
[5, 4, 3, 1, 0, 2]
[5, 4, 3, 1, 2, 0]
[5, 4, 3, 2, 0, 1]
[5, 4, 3, 2, 1, 0]
