 n                         2^n             p                           q
------------------------------------------------------------------------
 2                           4             2                           2
 3                           8             3                           5
 4                          16             3                          13
 5                          32             3                          29
 6                          64             3                          61
 7                         128            19                         109
 8                         256             5                         251
 9                         512             3                         509
10                       1,024             3                       1,021
11                       2,048            19                       2,029
12                       4,096             3                       4,093
13                       8,192            13                       8,179
14                      16,384             3                      16,381
15                      32,768            19                      32,749
16                      65,536            17                      65,519
17                     131,072            13                     131,059
18                     262,144             5                     262,139
19                     524,288            19                     524,269
20                   1,048,576             3                   1,048,573
21                   2,097,152            19                   2,097,133
22                   4,194,304             3                   4,194,301
23                   8,388,608            37                   8,388,571
24                  16,777,216             3                  16,777,213
25                  33,554,432            61                  33,554,371
26                  67,108,864             5                  67,108,859
27                 134,217,728            79                 134,217,649
28                 268,435,456            89                 268,435,367
29                 536,870,912             3                 536,870,909
30               1,073,741,824            41               1,073,741,783
31               2,147,483,648            19               2,147,483,629
32               4,294,967,296             5               4,294,967,291
33               8,589,934,592            79               8,589,934,513
34              17,179,869,184            41              17,179,869,143
35              34,359,738,368            31              34,359,738,337
36              68,719,476,736             5              68,719,476,731
37             137,438,953,472            31             137,438,953,441
38             274,877,906,944           107             274,877,906,837
39             549,755,813,888             7             549,755,813,881
40           1,099,511,627,776           167           1,099,511,627,609
41           2,199,023,255,552            31           2,199,023,255,521
42           4,398,046,511,104            11           4,398,046,511,093
43           8,796,093,022,208            67           8,796,093,022,141
44          17,592,186,044,416            17          17,592,186,044,399
45          35,184,372,088,832           139          35,184,372,088,693
46          70,368,744,177,664           167          70,368,744,177,497
47         140,737,488,355,328           127         140,737,488,355,201
48         281,474,976,710,656            59         281,474,976,710,597
49         562,949,953,421,312           139         562,949,953,421,173
50       1,125,899,906,842,624            71       1,125,899,906,842,553
51       2,251,799,813,685,248           139       2,251,799,813,685,109
52       4,503,599,627,370,496            47       4,503,599,627,370,449
53       9,007,199,254,740,992           379       9,007,199,254,740,613
54      18,014,398,509,481,984            53      18,014,398,509,481,931
55      36,028,797,018,963,968            67      36,028,797,018,963,901
56      72,057,594,037,927,936             5      72,057,594,037,927,931
57     144,115,188,075,855,872            13     144,115,188,075,855,859
58     288,230,376,151,711,744           137     288,230,376,151,711,607
59     576,460,752,303,423,488           607     576,460,752,303,422,881
60   1,152,921,504,606,846,976           107   1,152,921,504,606,846,869
61   2,305,843,009,213,693,952            31   2,305,843,009,213,693,921
62   4,611,686,018,427,387,904           167   4,611,686,018,427,387,737
63   9,223,372,036,854,775,808           409   9,223,372,036,854,775,399
64  18,446,744,073,709,551,616            59  18,446,744,073,709,551,557
65  36,893,488,147,419,103,232            79  36,893,488,147,419,103,153
66  73,786,976,294,838,206,464             5  73,786,976,294,838,206,459
67  147,573,952,589,676,412,928            19  147,573,952,589,676,412,909
68  295,147,905,179,352,825,856            23  295,147,905,179,352,825,833
69  590,295,810,358,705,651,712            19  590,295,810,358,705,651,693
70  1,180,591,620,717,411,303,424            71  1,180,591,620,717,411,303,353
71  2,361,183,241,434,822,606,848           577  2,361,183,241,434,822,606,271
72  4,722,366,482,869,645,213,696           107  4,722,366,482,869,645,213,589
73  9,444,732,965,739,290,427,392           181  9,444,732,965,739,290,427,211
74  18,889,465,931,478,580,854,784           257  18,889,465,931,478,580,854,527
75  37,778,931,862,957,161,709,568            97  37,778,931,862,957,161,709,471
76  75,557,863,725,914,323,419,136           347  75,557,863,725,914,323,418,789
77  151,115,727,451,828,646,838,272            43  151,115,727,451,828,646,838,229
78  302,231,454,903,657,293,676,544            11  302,231,454,903,657,293,676,533
79  604,462,909,807,314,587,353,088            67  604,462,909,807,314,587,353,021
80  1,208,925,819,614,629,174,706,176           317  1,208,925,819,614,629,174,705,859
81  2,417,851,639,229,258,349,412,352           163  2,417,851,639,229,258,349,412,189
82  4,835,703,278,458,516,698,824,704           113  4,835,703,278,458,516,698,824,591
