slot,hour,et0_mm,rainProb,tariff_eur_per_m3,concurrency,zone,minutes,theta_after,slotScore,note
0,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
0,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
1,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
1,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
2,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
2,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
3,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
3,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
4,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
4,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
5,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
5,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
6,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
6,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
7,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
7,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
8,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
8,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
9,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
9,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
10,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
10,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
11,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
11,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
12,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
12,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
13,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
13,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
14,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
14,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
15,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
15,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
16,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
16,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
17,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
17,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
18,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
18,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
19,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
19,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
20,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
20,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
21,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
21,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
22,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
22,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
23,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
23,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
24,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
24,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
25,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
25,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
26,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
26,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
27,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
