Encoded logical qubit : α=0.397, β=0.918

error             fidelity
X on q0       1.000000
X on q1       1.000000
X on q2       1.000000
X on q3       1.000000
X on q4       1.000000
X on q5       1.000000
X on q6       1.000000
X on q7       1.000000
X on q8       1.000000
Y on q0       1.000000
Y on q1       1.000000
Y on q2       1.000000
Y on q3       1.000000
Y on q4       1.000000
Y on q5       1.000000
Y on q6       1.000000
Y on q7       1.000000
Y on q8       1.000000
Z on q0       1.000000
Z on q1       1.000000
Z on q2       1.000000
Z on q3       1.000000
Z on q4       1.000000
Z on q5       1.000000
Z on q6       1.000000
Z on q7       1.000000
Z on q8       1.000000
